Name,Date,Is Weekend?,Unique,Male,Female,Final Count,Keywords,Genre,Attending,Interested,Declined,Maybe,Post Consumptions,Post Impressions,Post Impressions Paid,Post Impressions Paid Unique,Post Engaged Fan,Post Engaged Users,Post Negative Feedback,Post Stories,Post Storytellers,Page Post Engagements,Page Posts Impressions,Post Interests Impressions,Post Interests Consumptions,Page Story Adds,Post Reactions Like Total,Post Reactions Wow Total,Post Reactions Love Total,Post Reactions Haha Total,Post Reactions Sorry Total,Post Reactions Anger Total,Post Video Views,Description,EVALUATION?
Sarah Shook & the Disarmers w/ Shady Mayor,"5/3/2018, 10:00:00 PM",0,0,0,0,0,,rock,16,15,0,12,0,6,0,0,1,2,0,4,2,,,,,,0,0,0,0,0,0,0,...a sneering fusion of punk-rock autonomy and say-it-like-it-is country from the classic era  paired with a timeless vocal warble and tons of attitude...she's a nonconforming spitfire...  - Rolling Stone on Sarah Shook.  May 3 10pm 21+ $8 adv / $10 door  w/ Shady Mayor  Advanced Tickets here : http://www.pioneerindy.com/events-calendar/2018/5/3/sarah-shook-the-disarmers  ››››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹››››››››››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹  Sarah Shook & The Disarmers are a country band with a sneer  a bite  and no apologies. Shook's original songs take on the usual country spin on shitty relationships  bad decisions  and excessive alcohol consumption for damn good reasons. Songs with self-explanatory self-deprecation   Fuck Up   tangled in with a portrayal of a doomed relationship dripping with sarcasm  The Nail   are bastioned by the subtleties of a bar patron considering taking a chance on a stranger in title track   Sidelong . http://www.disarmers.com  Shady Mayor blues rock - Indianapolis https://shadymayor.bandcamp.com/releases,
The Happy Fits - Spring Tour 2018 - Indianapolis,"4/29/2018, 7:30:00 PM",0,0,0,0,0,,rock,12,23,0,17,,,,,,,,,,,,,,,,,,,,,,The Happy Fits - Spring 2018 Tour   /// The Happy Fits ///  ​National fencing champion Ross Monteith and orchestra nerd Calvin Langman didn't exactly get along in high school. However  a chance conversation in 2014 about the success of Youtube cover bands brought the two together to pave a road to quick fortune. Their mix of rocking guitars and electric cello created a unique dynamic  blending their love of rock artists like The Black Keys and folk bands like The Violent Femmes. The resulting music produced a youthful and chaotic frenzy of catchy melodies and raw instrumentals. When the band recruited professional gamer Luke Davis to join the band on drums  The Happy Fits were born.   The band's first single  While You Fade Away  from their debut EP  Awfully Apeelin'  (2016) reached #5 on Spotify's Top 50 Viral USA Chart the first week of its release.  /// Elwood - band ///   Like Tiny Tim took a long drive for someone with nothing to think about and listened to too much Here Come the Warm Jets.  www.elwoodband.bandcamp.com  /// Cyrus Youngman and the Kingfishers ///  Seven twenty-something musicians embark on a musical odyssey between good and evil  as modern bards armed only with their tunes cloaked in rich tones.  http://www.kingfishersband.com,
Naptown Soul Club : April Edition,"4/21/2018, 10:30:00 PM",1,0,0,0,0,,electronic,10,34,0,31,0,611,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,Brought to you by Dark Matter Coffee  Central State Brewing  and Damir Brand  Featuring the most banging grooves from the nastiest of the funk underground  Naptown Soul Club is a vinyl DJ dance night at Pioneer that occurs every 3rd Saturday of the month! Come get your freak on.  April 21 $5 21+ 10:30pm  With DJ performances by : DJ Paren Antonio Leiriao  w/ Special Guests : Esteban La Groue (Chicago) & DJ Chase   Focusing on regional artists who have paved the way for generations of soul and R&B to thrive and prosper in the midwest  Naptown Soul Club is a bombastic blend of retro and contemporary soul; '45 spinning  vinyl ripping. At these dance nights  you'll have exclusive aural access to songs that you can't hear anywhere else.  *Occurs every 3rd Saturday of the month*,
Yamantaka // Sonic Titan ‹› Spandrels ‹› duchess,"4/20/2018, 10:00:00 PM",1,0,0,0,0,,rock,18,54,0,49,0,0,0,0,0,1,0,3,1,,,,,,0,0,0,0,0,0,0,YAMANTAKA // SONIC TITAN is a Noh-Wave prog collective  a black-and-white (and sometimes red) theatre company  an operatic psych cult  rock band and the speculative prophets of humanity’s impending doom.  April 20th 10pm $8 pre-sale / $10 door 21+  Advanced Tickets here : https://www.eventbrite.com/e/yamantaka-sonic-titan-at-pioneer-tickets-42131012994  10:00pm - Spandrels 11:00pm - Yamantaka // Sonic Titan  *OBTUSE-affiliated dj duchess to spin before  in between  and after the bands*  ›››››››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹››››››››››››››››››››››››››››››››››››››››› Y // ST There’s a whole world contained within YAMANTAKA // SONIC TITAN. They’re a Noh-Wave prog collective  a black-and-white (and sometimes red) theatre company  an operatic psych cult  and the speculative prophets of humanity’s impending doom. Above it all  though  they’re a thunderous rock band  and on their third album  DIRT  they’re the heaviest they’ve ever been.  Though they’ve been an amorphous beast since they formed in 2010  DIRT follows the group’s most significant evolution in years. Now totally Toronto-based  they’ve added new singer Joanna Delos Reyes  guitarist Hiroki Tanaka and bassist Brandon Lim  who  along with the towering drums of leader/artist Alaska B  singer/theatre artist Ange Loft and keyboardist Brendan Swanson  turn the group into a driving engine of sound. Live  the band can be sprawling and theatrical or concise and visceral  filling the stage with noise  melody and cacophony.  DIRT Bio By Richard Trapunski  2017   Spandrels Noise Pop › Indianapolis   duchess https://soundcloud.com/duchess-obtuse,
ByBye / Minor Moon / Vess Rhutenberg,"4/18/2018, 10:00:00 PM",0,0,0,0,0,,other,5,33,0,23,0,626,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,Rock.  April 18 music at 10pm $5 21+  BYBYE psychedelic soul rock. Just released their first full length 'Metamorphasize' http://www.bybyemusic.com  Minor Moon Chicago http://www.minormoon.com  Vess Ruhtenberg of Zero Boys  Lemon Heads Released 'Tremendous Downtime' late 2017 https://vessruhtenberg.bandcamp.com/album/tremendous-downtime,
Palm Wine Discotheque : featuring Mariah Ivey,"4/14/2018, 10:30:00 PM",1,0,0,0,0,,electronic,36,118,0,75,0,413,0,0,0,2,0,2,2,,,,,,0,0,0,0,0,0,0,Hotel Tango Artisan Distillery Presents :  Palm Wine Discotheque  Every second Saturday of the month Sweet Poison Victim  joined by DJ Kyle Long  hit fountain square with a bombastic night of afro-jams.  This month's SPV / KL mashup features Mariah Ivey and TribeSouL!  April 14th 10:30pm $5 21+  DJ Kyle Long to spin before  in-between  and after the bands.  Mariah Ivey and TribeSouL HipHop-Soul/Spoken Word/Reggae  Sweet Poison Victim Highlife sensations straight outta Naptown. https://sweetpoisonvictim.bandcamp.com/  *** palm wine is an alcohol created from the sap of specific varieties of palm trees. Palm wine is commonly found in various parts of Asia  Africa the Caribbean and South America.  Palm wine is also an important genre of music in West Africa that influenced the development of highlife  soukous  afrobeat and many other styles of popular dance music. ***,
hakk.haus takeover,"4/13/2018, 10:00:00 PM",1,0,0,0,0,obtuse,electronic,23,59,0,17,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,OBTUSE & Quality Boutique presents hakk.haus takeover  4.13.18 // 10PM [21+] // $5  underground sounds interactive visual landscapes  Featured DJs : D. Strange FilterNetwork DJ Little Town DJ Shaw Shank  www.hakk.haus  #electro #house #hiphop #grime #techno,
"Ian Chang (of Son Lux) / Us, Today / gnz","4/12/2018, 10:00:00 PM",0,0,0,0,0,,electronic,32,79,0,79,0,89,0,0,4,7,0,13,7,,,,,,0,0,0,0,0,0,0,Brought to you by Music and Arts Technology IUPUI and IUPUI Arts and Humanities Institute!  Son Lux drummer Ian Chang makes electronic music physical. Using drums to control and manipulate samples  Chang brings human fluidity to a metronomic genre. The result is a seamless marriage of raw performative intensity and sophisticated sound design.  w/ cincinnati math rockers Us  Today    April 12 10pm 21+ $5 pre / $7 door  Advanced Tickets : http://www.pioneerindy.com/events-calendar/2018/4/12/ian-chang-of-son-lux-us-today  ››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››› Ian will be leading a Masterclass at IUPUI earlier in the day on April 12th from 1-2pm. ›››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››  Ian Chang Born and raised in Hong Kong  Chang was shaped by the city’s diversity and vibrance. He moved to New York in 2007 to pursue music and quickly gained a reputation as a “gigantically talented drummer” (NPR). To date  Chang has recorded and/or performed with such varied artists as Son Lux  Landlady  Joan As Policewoman  Body Language  Matthew Dear  Dave Douglas  Rafiq Bhatia  Rubblebucket and Moses Sumney.  https://ianyhchang.bandcamp.com   Us  Today Us  Today started as an organic experiment in sound. With the unique instrumentation of vibraphone  keyboard  guitar  and drums they set out to create music that defies genre. The group started with a chance meeting in 2010 at a coffee shop  and a discussion of a shared interest in St. Vincent. The three members  Kristin Agee  Joel Griggs  and Jeff Mellot  began weekly improvisation session  experimenting with their unique sonic possibilities. Improvisations turned into compositions. To date  Us  Today has released three albums. “RH Sessions” (2011)  “Beneath the Floorboards” (2012) and “TENENEMIES” (2015). Each album shows a progression of the band  from a free improvisation background  to a more composed and polished sound. Since their 2015 release  Us  Today has had the pleasure of sharing a stage with Sylvan Esso  Kishi Bashi  Deerhoof  Ghost-Note  and the Mike Dillon Band. They have toured extensively through the midwest  and have played several festivals including Midpoint Music Festival (Cincinnati  OH) and Secret Stages (Birmingham  AL). Their anticipated 4th album “Computant” (2018) shows another step in their sonic progression  to a more unified  electronic sound.  www.uscommatoday.com  gnz https://soundcloud.com/a_gnzls,
Cloakroom / Sweet Cobra / Jaye Jayle at Pioneer,"4/8/2018, 8:00:00 PM",0,0,0,0,0,,rock,52,135,0,109,,,,,,,,,,,,,,,,,,,,,,Indy CD & Vinyl and A-Squared Industries Present  CLOAKROOM (Relapse Records) SWEET COBRA (Magic Bullet Records) JAYE JAYLE (Sargent House Records)  Live at Pioneer (21+) 1110 Shelby Street Indianapolis IN 46203  $10 advance purchase tickets are available at Indy CD & Vinyl and online here: https://cloakroom2018.brownpapertickets.com/ Tickets are $10 at the door on the night of the show.,
Faith Healer / Hales Corner / Elle Barbara's Black Space,"4/7/2018, 10:30:00 PM",1,0,0,0,0,,rock,26,65,0,44,0,0,0,0,1,2,0,4,2,,,,,,0,0,0,0,0,0,0,80s-stylings outta Edmonton w/ Elle Barbara's Black Space (J. Ellise Barbara) & Hales Corner  April 7th 10:30pm 21+ $5 pre / $7 show  Advanced Tickets : http://www.pioneerindy.com/events-calendar/2018/4/7/faith-healer-at-pioneer  ›››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹  Faith Healer When Edmonton’s Jessica Jalbert first began performing solo under the name Faith Healer  the alias was her way of avoiding being pigeon holed as a singer-songwriter. Now  however  times have changed : Faith Healer has turned into a band  with singer-guitarist Jalbert joined by drummer/multi-instrumentalist Renny Wilson. Their first LP as a duo is called Try;-). Balancing melancholic lyrics with playful moods  lush melodies with straight forward arrangements  Try;-) is the sound of an introspective loner leaving her bedroom to make a rock record with her best bud. It’s what happens when you stop taking life as it comes and instead throw all of your effort into making time-less pop songs. Forget what the bullies told you in middle school—there’s nothing cooler than trying hard. The intensive creative process inspired the title of Try;-) and serves as a reminder that sometimes you need to grab life by the horns rather than waiting  for inspiration to strike. As for that winky face : “I always use that wink emoticon ” Jalbert says with a laugh. “I think it’s hilarious. I think it’s cheeky and fun  which is something  I was trying to access a little more with this record.” http://www.faithhealer.ca  Elle Barbara's Black Space Elle Barbara (J. Ellise Barbara) is a Montreal-based artist and singer. Rising from artist-run spaces at the turn of the current decade  their recent efforts are centered around transgender community organizing. With a group called the Black Space and a lineup made of musicians of Sub-Saharan descent  Elle Barbara aims to recenter contemporary blackness via the rejection of racialized tropes. https://jefellisebarbara.bandcamp.com  Hales Corner Indiana born rock n droll https://halescorner.bandcamp.com/,
In Tall Buildings w/ Saint Aubin : First Friday at Pioneer,"4/6/2018, 10:30:00 PM",1,0,0,0,0,,rock,41,100,0,62,0,4,0,0,1,2,0,3,2,,,,,,0,0,0,0,0,0,0,Upland Brewing Company and In Store Recordings Present :  First Friday at Pioneer : Western Vinyl's In Tall Buildings   w/ Saint Aubin  April 6 10:30pm 21+ FREE  In Tall Buildings Akinetic  the new album from Chicago songwriter and multi-instrumentalist Erik Hall’s one-man polymathic project In Tall Buildings sees its creator plunge headlong into allegories of communication  loss  impulse  vice  and mass-denialism. With the addition of producer and engineer Brian Deck (Modest Mouse  Iron & Wine) Hall crashes through the aforementioned subject matter with brightness and lucidity  yielding his most intelligent and focused songwriting yet. Working out of his house with Deck in Pilsen  Chicago  Hall’s efforts yield ten tracks of spacious and textured handmade pop  comprising one of the most sharply written and deftly recorded home-studio albums in memory. https://www.intallbuildings.com/  Saint Aubin Saint Aubin is the collective work of Trevor St. Aubin  Fredrick Miller III  and Tom Sargent. Their sound has been described as  a soulful collision of alt-rock  and jazzy folk music  by The Anchored Soul Blog. Although St. Aubin has only existed for a few months  their music is far from immature. With years of experience under their belts  this trio is ready to change the way you view the sounds that can come from just three musicians. http://saintaubinmusic.com,
"Oh, Rose // Touch Ki // Wes","4/4/2018, 10:00:00 PM",0,0,0,0,0,,rock,53,72,0,34,0,265,0,0,0,2,0,2,2,,,,,,0,0,0,0,0,0,0,Self proclaimed meat-wave grooves out of Olympia  WA  April 4 10pm $5 21+  *on Pint Night*  ››››››››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹›››››››››››››››››››››››››››››››››››››  Oh  Rose https://ohrose.bandcamp.com/album/seven  Touch Ki Fresh digs featuring members of SM Wolf  VV Torso  & Uppers  Wes Cook of Hales Corner  playing a solo set https://halescorner.bandcamp.com/album/garden-view,
Spellbound DJ Dance Night: March 2018 Edition,"3/31/2018, 10:30:00 PM",1,0,0,0,0,,electronic,105,319,0,270,,,,,,,,,,,,,,,,,,,,,,The last Saturday of every month Jagermeister & Indy CD & Vinyl present:  SPELLBOUND DJ DANCE NIGHT with hosts Andy & Annie from A-Squared Industries  and DJ Evil Twin  Darkwave / Goth / Industrial / Dark Alternative / 80s / Postpunk / Electro / Bloghouse / Witchhouse / Dark open-format DJ dance night at Pioneer Indy in Fountain Square - Indianapolis  Saturday March 31st 2018 10:30pm special guests Satanic Hispanic & Dyonna Cross (Black Magick - Chicago) $5 cover at the door | 21+ with valid ID  Photos by Greg  The Mayor  www.spellboundindy.com,
Acid Dad / Chives / ABC Gum,"3/30/2018, 10:30:00 PM",1,0,0,0,0,,rock,45,135,0,108,0,0,0,0,1,6,0,12,6,,,,,,0,0,0,0,0,0,0,psych-punk  rock n roll   March 30th 10:30pm $8 pre-sale / $10 door 21+   Acid Dad  NYC punk outfit is set to release their S/T debut LP on 3/9/18 via Greenway Records!! Stream the first single  2Ci  via BrooklynVegan http://www.aciddad.com/  Chives  Let it be known  Chives procure sounds that are eclectic even for today's standards of Psychedelic Rock. Combining zany vocals  abrasive percussion and burning guitar/bass partnerships. They'll take an immobile crowd and get them to bounce off the walls. Make no mistake  Chives are technical whilst remaining creatively sporadic. -Maxwell Denari  Reflektor Magazine http://chivess.bandcamp.com  ABC Gum bloomington rock n roll,
False Ragu VII,"3/28/2018, 10:00:00 PM",0,0,0,0,0,,other,11,16,0,10,0,546,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,False Ragu VII (roman numeral 7)  Lucky Number Schleven - brought you by the good people at Hot Topic:  with musical guest VV Torso!(Don Pardo voice)  10PM WEDNESDAY MARCH 28th PIONEER FREE  SHOW UP  ¡ALERTÉ!  CUIDADO!  DISCLAIMER! (“False Ragu” is not an urban dictionary term for abortion.  Not saying that we’d have any problem with that if it was.)  Have you ever thought  no one understands you  and they never could?  Have you ever wanted to shed this mortal coil and transcend to a deeper ring of pain and hopelessness that befits your tortured  black  pitiless soul?  Do you really like Nightmare Before Christmas  and wearing chokers and cat ears?  Then have I got some good news for you!  This months March madness is brought to you by Hot Topic  the 1 name in the buy 1 get 1 half off band shirt market worldwide.  Hot Topic’s Hot Topic’s only on False Ragu VII.  We’re talkin  corporate corruption  Syria  Putin and the new Cold War  net gender neutrality  Fred Schneider  a ghost  salt cave therapy.  Songs by number 1 stunner post punk Indy 4 piece VV Torso  as well as exclusive hard hitting interview/get to know the band!  With your regular local live show ensemble: Nic  Porsh  Jawn  and JB.,
Obtuse March : David Peck / Nagasaki Dirt / FilterNetwork,"3/24/2018, 10:30:00 PM",1,0,0,0,0,,electronic,20,56,0,54,0,270,0,0,1,2,0,4,2,,,,,,0,0,0,0,0,0,0,OBTUSE : Offbeat dance night March edition features Indy hiphop artist Nagasaki Dirt   with electronics by DAVID PECK & FilterNetwork (Ben of FLANCH)  Mar. 24 10:30pm ››› FREE 21+  Lineup : David Peck Nagasaki Dirt FilterNetwork  ***********  DAVID PECK http://soundcloud.com/davidpeck  Nagasaki Dirt https://soundcloud.com/nagasakidirt  FilterNetwork https://soundcloud.com/user-770089579,
Moonwalks / Uppers / Long H Sound,"3/23/2018, 10:30:00 PM",1,0,0,0,0,,rock,27,87,0,87,0,3,0,0,0,1,0,4,1,,,,,,0,0,0,0,0,0,0,"Detroit psych-wave Moonwalks coming to Pio
 Joined by Uppers
 
 March 23
 10:30pm
 21+
 
 $5 adv / $7 show
 
 Advanced Tickets : 
 http://www.pioneerindy.com/events-calendar/2018/3/23/moonwalks-at-pioneer
 
 Lineup : 10:30pm - long h sound 11:00pm - moonwalks 11:45pm - uppers  ›››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹››››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹
 
 Moonwalks are a psychedelic space rock outfit based out of Detroit  MI. The band consists of Kerrigan Pearce (drums)  Jacob Dean (guitar)  and Kate Gutwald (bass). Their first EP  recorded by the legendary Jim Diamond (White Stripes/The Dirtbombs) 
 was released in November of 2014 on L.A. based label L.O.O.S.E+Manimal Vinyl  and was dubbed a New and Notable Release by Bandcamp. 
 Originated in Detroit's DIY scene  the band played in warehouses and makeshift venues across the city. Since then  Moonwalks have toured extensively throughout the US and Europe  as well as open for notable acts such as Thee Oh Sees  Metric  Kikagako
 Moyo  Priests  Cosmonauts  Wand  and LA Witch. Their debut LP  Lunar Phases  also recorded by Diamond  was released November 6  2015 on Manimal Vinyl. 
 Moonwalks released their first single  A Little Touch of Gravity//Steam Train on Brooklyn based Greenway Records in January 2017  and are set to release their international debut on Stolen Body Records (Bristol)  In Light (The Scales in the
 Frame)  January 26  2018.
 
 Uppers
 members of Aisle 9 & Bedforms
 
 Long H Sound
 Solo Noise project of Jeb Lambert (Total Disgust)",
Thelma & the Sleaze / Cairo Jag / the Craig Brown Band,"3/20/2018, 8:00:00 PM",0,0,0,0,0,,rock,55,118,0,118,0,3,0,0,1,6,1,16,6,,,,,,0,0,0,0,0,0,0,Thelma and the Sleaze is sludging up from Nashville on a Tuesday! Joined by recent Third Man Records signees Craig Brown Band!  Mar. 20 21+ 8pm doors 9pm music  $8 adv / $10 door  Advanced Tickets Here :  https://www.eventbrite.com/e/thelma-the-sleaze-w-the-craig-brown-band-tickets-42720477097  Lineup : 9:00pm - Cairo Jag 9:45pm - Craig Brown Band 10:30pm - Thelma & the Sleaze  ›››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››  Thelma and the Sleaze Nashville based power trio sludge fest Thin Lizzy creeps on us. http://thelmaandthesleaze.com/  Cairo Jag Rock N Roll outta Indy https://cairojag.bandcamp.com/  Craig Brown Band Detroit's most beloved bartender  cook  and ping pong champion has gone solo. Well  solo in the sense that he’s put a firecracker musical act together and called it The Craig Brown Band. The debut full-length album  “The Lucky Ones Forget ” was recorded “almost live!” by Warren Defever (His Name Is Alive) and is now available on Third Man Records. It’s a long-player filled with songs about heartbreak  drinking  and vans—built upon the work of those daring punks who embraced country music (Replacements  Meat Puppets  Tom Petty  et al.). And it’s one of 2017’s must-hear records. http://craigbrownband.com/,
